Mutant;ALL;Jaccard
e_acos.mut.104.1_11_28.AOD.__ieee754_acos;1;1
e_acos.mut.104.1_13_31.AOD.__ieee754_acos;1;1
e_acos.mut.104.1_14_22.AOR.__ieee754_acos;1;1
e_acos.mut.104.1_15_35.AOD.__ieee754_acos;1;1
e_acos.mut.104.1_2_14.ABS.__ieee754_acos;1;1
e_acos.mut.104.1_22_29.AOR.__ieee754_acos;1;1
e_acos.mut.104.1_3_14.AOD.__ieee754_acos;1;1
e_acos.mut.104.1_3_17.ABS.__ieee754_acos;1;1
e_acos.mut.104.1_30_36.AOR.__ieee754_acos;1;1
e_acos.mut.104.1_4_21.ABS.__ieee754_acos;1;1
e_acos.mut.104.1_5_17.AOD.__ieee754_acos;1;1
e_acos.mut.104.1_5_24.ABS.__ieee754_acos;1;1
e_acos.mut.104.1_6_15.AOR.__ieee754_acos;1;1
e_acos.mut.104.1_6_28.ABS.__ieee754_acos;1;1
e_acos.mut.104.1_7_21.AOD.__ieee754_acos;1;1
e_acos.mut.104.1_7_31.ABS.__ieee754_acos;1;1
e_acos.mut.104.1_8_35.ABS.__ieee754_acos;1;1
e_acos.mut.104.1_9_24.AOD.__ieee754_acos;1;1
e_acos.mut.104.1_9_37.ABS.__ieee754_acos;1;1
e_acos.mut.104.2_10_27.AOD.__ieee754_acos;1;1
e_acos.mut.104.2_11_20.AOR.__ieee754_acos;1;1
e_acos.mut.104.2_12_29.AOD.__ieee754_acos;1;1
e_acos.mut.104.2_14_34.AOD.__ieee754_acos;1;1
e_acos.mut.104.2_15_22.AOR.__ieee754_acos;1;1
e_acos.mut.104.2_16_36.AOD.__ieee754_acos;1;1
e_acos.mut.104.2_19_27.AOR.__ieee754_acos;1;1
e_acos.mut.104.2_2_13.AOD.__ieee754_acos;1;1
e_acos.mut.104.2_23_29.AOR.__ieee754_acos;1;1
e_acos.mut.104.2_27_34.AOR.__ieee754_acos;1;1
e_acos.mut.104.2_3_13.AOR.__ieee754_acos;1;1
e_acos.mut.104.2_31_36.AOR.__ieee754_acos;1;1
e_acos.mut.104.2_4_15.AOD.__ieee754_acos;1;1
e_acos.mut.104.2_6_20.AOD.__ieee754_acos;1;1
e_acos.mut.104.2_7_15.AOR.__ieee754_acos;1;1
e_acos.mut.104.2_8_22.AOD.__ieee754_acos;1;1
e_acos.mut.104.3_10_20.AOR.__ieee754_acos;1;1
e_acos.mut.104.3_18_27.AOR.__ieee754_acos;1;1
e_acos.mut.104.3_26_34.AOR.__ieee754_acos;1;1
e_acos.mut.104.4_12_20.AOR.__ieee754_acos;1;1
e_acos.mut.104.4_16_22.AOR.__ieee754_acos;1;1
e_acos.mut.104.4_20_27.AOR.__ieee754_acos;1;1
e_acos.mut.104.4_24_29.AOR.__ieee754_acos;1;1
e_acos.mut.104.4_28_34.AOR.__ieee754_acos;1;1
e_acos.mut.104.4_32_36.AOR.__ieee754_acos;1;1
e_acos.mut.104.4_4_13.AOR.__ieee754_acos;1;1
e_acos.mut.104.4_8_15.AOR.__ieee754_acos;1;1
e_acos.mut.105.1_1_10.ABS.__ieee754_acos;1;1
e_acos.mut.105.1_1_10.AOD.__ieee754_acos;1;1
e_acos.mut.105.1_1_6.SDL.__ieee754_acos;1;1
e_acos.mut.105.1_2_12.ABS.__ieee754_acos;1;1
e_acos.mut.105.1_3_11.AOR.__ieee754_acos;1;1
e_acos.mut.105.2_2_11.AOD.__ieee754_acos;1;1
e_acos.mut.105.2_4_11.AOR.__ieee754_acos;1;1
e_acos.mut.105.3_2_11.AOR.__ieee754_acos;1;1
e_acos.mut.106.1_1_10.ABS.__ieee754_acos;1;1
e_acos.mut.106.1_1_10.AOD.__ieee754_acos;1;1
e_acos.mut.106.1_1_6.SDL.__ieee754_acos;1;1
e_acos.mut.106.1_2_10.AOD.__ieee754_acos;1;1
e_acos.mut.106.1_2_11.AOR.__ieee754_acos;1;1
e_acos.mut.106.1_2_12.ABS.__ieee754_acos;1;1
e_acos.mut.106.2_3_11.AOD.__ieee754_acos;1;1
e_acos.mut.106.2_3_11.AOR.__ieee754_acos;1;1
e_acos.mut.106.2_4_13.AOD.__ieee754_acos;1;1
e_acos.mut.106.2_7_13.AOR.__ieee754_acos;1;1
e_acos.mut.106.3_6_13.AOR.__ieee754_acos;1;1
e_acos.mut.106.4_4_11.AOR.__ieee754_acos;1;1
e_acos.mut.106.4_8_13.AOR.__ieee754_acos;1;1
e_acos.mut.107.1_1_13.AOD.__ieee754_acos;1;1
e_acos.mut.107.1_1_18.ABS.__ieee754_acos;1;1
e_acos.mut.107.1_1_6.SDL.__ieee754_acos;1;1
e_acos.mut.107.1_2_16.AOR.__ieee754_acos;1;1
e_acos.mut.107.1_2_21.ABS.__ieee754_acos;1;1
e_acos.mut.107.1_3_18.AOD.__ieee754_acos;1;1
e_acos.mut.107.2_1_13.LVR.__ieee754_acos;1;1
e_acos.mut.107.2_2_16.AOD.__ieee754_acos;1;1
e_acos.mut.107.2_3_16.AOR.__ieee754_acos;1;1
e_acos.mut.107.3_2_13.LVR.__ieee754_acos;1;1
e_acos.mut.107.3_6_20.AOR.__ieee754_acos;1;1
e_acos.mut.107.4_4_16.AOR.__ieee754_acos;1;1
e_acos.mut.107.4_8_20.AOR.__ieee754_acos;1;1
e_acos.mut.71.1_1_2.SDL.__ieee754_acos;1;1
e_acos.mut.71.5_1_2.LVR.__ieee754_acos;1;1
e_acos.mut.72.1_1_2.SDL.__ieee754_acos;1;1
e_acos.mut.72.1_1_7.BOD.__ieee754_acos;1;1
e_acos.mut.72.1_2_7.UOI.__ieee754_acos;1;1
e_acos.mut.72.1_6_10.ICR.__ieee754_acos;1;1
e_acos.mut.72.2_4_7.UOI.__ieee754_acos;0;0
e_acos.mut.72.3_1_7.UOI.__ieee754_acos;1;1
e_acos.mut.72.3_5_10.ICR.__ieee754_acos;1;1
e_acos.mut.72.4_2_10.ICR.__ieee754_acos;1;1
e_acos.mut.72.4_3_7.UOI.__ieee754_acos;0;0
e_acos.mut.72.5_3_10.ICR.__ieee754_acos;0;0
e_acos.mut.72.6_4_10.ICR.__ieee754_acos;1;1
e_acos.mut.72.7_2_9.LCR.__ieee754_acos;1;1
e_acos.mut.72.8_1_9.LCR.__ieee754_acos;1;1
e_acos.mut.73.1_1_2.SDL.__ieee754_acos;1;1
e_acos.mut.73.1_2_5.UOI.__ieee754_acos;1;1
e_acos.mut.73.1_6_9.ICR.__ieee754_acos;1;1
e_acos.mut.73.2_4_5.UOI.__ieee754_acos;1;1
e_acos.mut.73.3_1_5.UOI.__ieee754_acos;1;1
e_acos.mut.73.4_3_5.UOI.__ieee754_acos;1;1
e_acos.mut.73.4_3_7.ROR.__ieee754_acos;1;1
e_acos.mut.73.5_3_9.ICR.__ieee754_acos;1;1
e_acos.mut.73.5_4_7.ROR.__ieee754_acos;0;0
e_acos.mut.73.6_1_7.ROR.__ieee754_acos;1;1
e_acos.mut.75.1_1_6.SDL.__ieee754_acos;1;1
e_acos.mut.75.5_1_6.LVR.__ieee754_acos;1;1
e_acos.mut.76.1_1_10.BOD.__ieee754_acos;1;0
e_acos.mut.76.1_1_6.SDL.__ieee754_acos;1;1
e_acos.mut.76.1_1_9.ROD.__ieee754_acos;1;1
e_acos.mut.76.1_2_11.UOI.__ieee754_acos;1;1
e_acos.mut.76.1_3_13.AOR.__ieee754_acos;1;1
e_acos.mut.76.1_6_14.ICR.__ieee754_acos;1;1
e_acos.mut.76.1_6_26.UOI.__ieee754_acos;1;1
e_acos.mut.76.1_8_31.ICR.__ieee754_acos;1;1
e_acos.mut.76.2_1_14.ICR.__ieee754_acos;1;1
e_acos.mut.76.2_2_25.BOD.__ieee754_acos;1;1
e_acos.mut.76.2_4_11.UOI.__ieee754_acos;0;0
e_acos.mut.76.2_5_29.ROR.__ieee754_acos;1;1
e_acos.mut.76.2_7_31.ICR.__ieee754_acos;1;1
e_acos.mut.76.3_1_11.UOI.__ieee754_acos;1;1
e_acos.mut.76.3_2_13.AOR.__ieee754_acos;1;0
e_acos.mut.76.3_5_26.UOI.__ieee754_acos;1;1
e_acos.mut.76.4_2_14.ICR.__ieee754_acos;1;1
e_acos.mut.76.4_3_11.UOI.__ieee754_acos;0;0
e_acos.mut.76.4_4_13.AOR.__ieee754_acos;1;1
e_acos.mut.76.5_1_13.AOR.__ieee754_acos;0;0
e_acos.mut.76.5_3_14.ICR.__ieee754_acos;1;1
e_acos.mut.76.6_1_25.LCR.__ieee754_acos;1;1
