MutationOpt,FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
0,IfHK,1,1,DOUBLE,INV,5.5,5.5,NA,0,NA,0
1,IfHK,2,1,FLOAT,INV,-5.5,5.5,NA,0,NA,0
2,IfHK,3,1,FLOAT,INV,-5.5,5.5,NA,0,NA,0
3,IfHK,4,1,FLOAT,INV,-5.5,5.5,NA,0,NA,0
