commands.mut.340.2_2_71.ROD.cmd_cmp_route_set|.;1;1;1;1;1;1
commands.mut.451.1_1_9.ROD.cmd_cmp_poke|.;0;0;0;0;0;0
commands.mut.475.2_2_13.ROD.cmd_cmp_clock|.;1;1;1;1;1;1
commands.mut.312.1_1_9.ROD.cmd_cmp_ident|.;0;0;0;0;0;0
commands.mut.231.1_1_9.SDL.cmd_csp_iflist_print_interfaces|.;0;0;0;0;0;0
commands.mut.229.1_1_9.SDL.cmd_csp_iflist_print_interfaces|.;0;0;0;0;0;0
commands.mut.496.1_1_5.SDL.cmd_cmp_clock|.;0;0;0;0;0;0
commands.mut.130.1_1_5.SDL.cmd_ps|.;0;0;0;0;0;0
commands.mut.313.1_1_9.SDL.cmd_cmp_ident|.;0;0;0;0;0;0
commands.mut.61.1_1_9.SDL.cmd_ping|.;0;0;0;0;0;0
commands.mut.117.1_1_5.SDL.cmd_ping|.;0;0;0;0;0;0
commands.mut.344.1_1_9.ROD.cmd_cmp_route_set|.;0;0;0;0;0;0
commands.mut.97.1_1_9.SDL.cmd_ping|.;0;0;0;0;0;0
commands.mut.110.1_1_9.ROD.cmd_ping|.;0;0;0;0;0;0
commands.mut.59.1_1_9.ROD.cmd_ping|.;0;0;0;0;0;0
commands.mut.79.1_1_5.SDL.cmd_ping|.;0;0;0;0;0;0
commands.mut.164.1_1_5.SDL.cmd_shutdown|.;0;0;0;0;0;0
commands.mut.102.1_1_22.AOD.cmd_ping|.;0;0;0;0;0;0
commands.mut.481.2_4_46.AOD.cmd_cmp_clock|.;0;0;0;0;0;0
commands.mut.79.1_1_9.LOD.cmd_ping|.;0;0;0;0;0;0
commands.mut.380.1_1_5.SDL.cmd_cmp_ifc|.;0;0;0;0;0;0
commands.mut.64.1_1_9.SDL.cmd_ping|.;0;0;0;0;0;0
commands.mut.689.1_1_5.SDL.gs_csp_register_commands|.;0;0;0;0;0;0
commands.mut.372.1_1_9.ROD.cmd_cmp_ifc|.;0;0;0;0;0;0
commands.mut.137.1_1_9.ROD.cmd_memfree|.;0;0;0;0;0;0
commands.mut.210.1_1_9.SDL.csp_rtable_print_route|.;0;0;0;0;0;0
commands.mut.505.2_2_56.ROD.cmd_cmp_clock_get|.;1;1;1;1;1;1
commands.mut.366.2_2_63.ROD.cmd_cmp_ifc|.;0;0;0;0;0;0
commands.mut.124.2_2_56.ROD.cmd_ps|.;1;1;1;1;1;1
commands.mut.319.1_1_5.SDL.cmd_cmp_ident|.;0;0;0;0;0;0
commands.mut.366.1_1_9.ROD.cmd_cmp_ifc|.;0;0;0;0;0;0
commands.mut.349.1_1_5.SDL.cmd_cmp_route_set|.;0;0;0;0;0;0
commands.mut.199.1_1_5.SDL.cmd_uptime|.;0;0;0;0;0;0
commands.mut.49.1_1_5.SDL.cmd_ping|.;0;0;0;0;0;0
commands.mut.29.2_2_23.ROD.parse_node_timeout|.;0;0;0;0;0;0
commands.mut.30.1_1_13.SDL.parse_node_timeout|.;0;0;0;0;0;0
commands.mut.137.2_2_56.ROD.cmd_memfree|.;1;1;1;1;1;1
commands.mut.93.1_1_13.ROD.cmd_ping|.;0;0;0;0;0;0
commands.mut.239.1_1_5.SDL.cmd_csp_iflist_print_interfaces|.;0;0;0;0;0;0
commands.mut.104.1_1_5.SDL.cmd_ping|.;0;0;0;0;0;0
commands.mut.82.1_1_5.SDL.cmd_ping|.;0;0;0;0;0;0
commands.mut.177.2_2_56.ROD.cmd_buf_free|.;1;1;1;1;1;1
commands.mut.385.1_1_5.SDL.cmd_cmp_ifc|.;0;0;0;0;0;0
commands.mut.473.1_1_5.SDL.cmd_cmp_clock|.;0;0;0;0;0;0
commands.mut.184.1_1_9.SDL.cmd_buf_free|.;0;0;0;0;0;0
commands.mut.393.1_1_5.SDL.cmd_cmp_ifc|.;0;0;0;0;0;0
commands.mut.347.1_1_5.SDL.cmd_cmp_route_set|.;0;0;0;0;0;0
commands.mut.59.1_1_5.SDL.cmd_ping|.;0;0;0;0;0;0
commands.mut.260.1_1_5.SDL.cmd_csp_conn_print_table|.;0;0;0;0;0;0
commands.mut.219.1_1_5.SDL.cmd_csp_rtable_print_table|.;0;0;0;0;0;0
commands.mut.199.1_1_9.ROD.cmd_uptime|.;0;0;0;0;0;0
commands.mut.35.1_1_9.SDL.parse_node_timeout|.;0;0;0;0;0;0
commands.mut.214.1_1_5.SDL.csp_rtable_print_route|.;0;0;0;0;0;0
commands.mut.94.1_1_13.SDL.cmd_ping|.;0;0;0;0;0;0
commands.mut.492.2_3_55.AOD.cmd_cmp_clock|.;0;0;0;0;0;0
commands.mut.54.1_1_9.LOD.cmd_ping|.;0;0;0;0;0;0
commands.mut.70.1_1_9.SDL.cmd_ping|.;0;0;0;0;0;0
commands.mut.183.1_1_5.SDL.cmd_buf_free|.;0;0;0;0;0;0
commands.mut.492.1_2_28.AOD.cmd_cmp_clock|.;0;0;0;0;0;0
commands.mut.379.1_1_5.SDL.cmd_cmp_ifc|.;0;0;0;0;0;0
commands.mut.383.1_1_5.SDL.cmd_cmp_ifc|.;0;0;0;0;0;0
commands.mut.484.1_1_5.SDL.cmd_cmp_clock|.;0;0;0;0;0;0
commands.mut.495.1_2_26.AOD.cmd_cmp_clock|.;0;0;0;0;0;0
commands.mut.495.2_3_33.AOD.cmd_cmp_clock|.;0;0;0;0;0;0
commands.mut.106.1_1_9.SDL.cmd_ping|.;0;0;0;0;0;0
commands.mut.312.1_1_5.SDL.cmd_cmp_ident|.;0;0;0;0;0;0
