Mutant;ALL;Jaccard
bytebuffer.mut.15.1_2_13.UOI.gs_bytebuffer_init;1;1
bytebuffer.mut.15.1_4_25.ROR.gs_bytebuffer_init;1;1
bytebuffer.mut.15.1_6_27.ICR.gs_bytebuffer_init;1;1
bytebuffer.mut.15.2_1_27.ICR.gs_bytebuffer_init;1;1
bytebuffer.mut.15.2_2_25.ROD.gs_bytebuffer_init;1;1
bytebuffer.mut.15.2_4_13.UOI.gs_bytebuffer_init;1;1
bytebuffer.mut.15.3_1_13.UOI.gs_bytebuffer_init;1;1
bytebuffer.mut.15.4_3_13.UOI.gs_bytebuffer_init;1;1
bytebuffer.mut.15.5_3_25.ROR.gs_bytebuffer_init;1;1
bytebuffer.mut.15.6_1_25.ROR.gs_bytebuffer_init;1;1
bytebuffer.mut.15.6_4_27.ICR.gs_bytebuffer_init;1;1
bytebuffer.mut.19.1_1_9.SDL.gs_bytebuffer_init;1;1
bytebuffer.mut.20.1_1_9.SDL.gs_bytebuffer_init;1;1
bytebuffer.mut.20.1_2_20.UOI.gs_bytebuffer_init;1;1
bytebuffer.mut.20.3_1_20.UOI.gs_bytebuffer_init;1;1
bytebuffer.mut.25.1_1_5.SDL.gs_bytebuffer_init;1;1
bytebuffer.mut.31.1_1_5.SDL.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.31.1_1_9.ROD.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.31.2_5_20.ROR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.34.1_1_9.SDL.__builtin_va_end;1;1
bytebuffer.mut.34.1_2_30.ICR.__builtin_va_end;0;0
bytebuffer.mut.34.2_1_30.ICR.__builtin_va_end;1;1
bytebuffer.mut.35.1_1_13.ABS.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.35.1_2_13.UOI.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.35.2_1_20.ICR.gs_bytebuffer_vprintf;0;0
bytebuffer.mut.35.2_2_17.ROD.gs_bytebuffer_vprintf;0;0
bytebuffer.mut.35.2_4_13.UOI.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.35.3_1_13.UOI.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.35.4_3_13.UOI.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.35.4_3_17.ROR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.35.5_4_17.ROR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.35.7_1_13.ROR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.36.1_1_25.ABS.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.36.1_2_25.UOI.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.36.10_1_22.AOR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.36.2_4_25.UOI.gs_bytebuffer_vprintf;0;0
bytebuffer.mut.36.3_1_25.UOI.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.36.4_3_25.UOI.gs_bytebuffer_vprintf;0;0
bytebuffer.mut.36.7_3_22.AOR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.36.8_2_22.AOR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.36.9_4_22.AOR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.40.1_1_9.SDL.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.41.1_1_13.ABS.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.41.1_2_13.UOI.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.41.1_2_19.ICR.gs_bytebuffer_vprintf;0;0
bytebuffer.mut.41.2_4_13.UOI.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.41.3_1_13.UOI.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.41.3_2_17.ROR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.41.4_3_13.UOI.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.41.4_3_17.ROR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.41.5_4_17.ROR.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.42.1_1_13.SDL.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.42.1_1_17.ROD.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.42.1_1_25.ABS.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.42.1_2_25.UOI.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.42.1_5_29.ROR.gs_bytebuffer_vprintf;0;0
bytebuffer.mut.42.2_2_29.ROD.gs_bytebuffer_vprintf;1;1
bytebuffer.mut.42.3_1_25.UOI.gs_bytebuffer_vprintf;1;1
