MUTANT,TEST,CONFIGURATION,RESULT,FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
5,rparam3,CONFIGURED,FAILED,General,2,1,LONG,SS,u,u,u,-1,u,u
5,rparam4,CONFIGURED,FAILED,General,2,1,LONG,SS,u,u,u,-1,u,u
5,serialize,CONFIGURED,PASSED,General,2,1,LONG,SS,u,u,u,-1,u,u
5,spi,CONFIGURED,PASSED,General,2,1,LONG,SS,u,u,u,-1,u,u
5,store,CONFIGURED,PASSED,General,2,1,LONG,SS,u,u,u,-1,u,u
5,store_load,CONFIGURED,PASSED,General,2,1,LONG,SS,u,u,u,-1,u,u
5,vmem_store_checksum_first,CONFIGURED,PASSED,General,2,1,LONG,SS,u,u,u,-1,u,u
5,vmem_store_checksum_last,CONFIGURED,PASSED,General,2,1,LONG,SS,u,u,u,-1,u,u
6,bindings,CONFIGURED,PASSED,General,2,1,LONG,IV,u,u,u,u,u,0
6,example,CONFIGURED,PASSED,General,2,1,LONG,IV,u,u,u,u,u,0
6,file_store,CONFIGURED,PASSED,General,2,1,LONG,IV,u,u,u,u,u,0
6,i2c,CONFIGURED,PASSED,General,2,1,LONG,IV,u,u,u,u,u,0
6,log,CONFIGURED,PASSED,General,2,1,LONG,IV,u,u,u,u,u,0
6,param3,CONFIGURED,PASSED,General,2,1,LONG,IV,u,u,u,u,u,0
6,param4,CONFIGURED,PASSED,General,2,1,LONG,IV,u,u,u,u,u,0
6,rparam3,CONFIGURED,FAILED,General,2,1,LONG,IV,u,u,u,u,u,0
6,rparam4,CONFIGURED,FAILED,General,2,1,LONG,IV,u,u,u,u,u,0
6,serialize,CONFIGURED,PASSED,General,2,1,LONG,IV,u,u,u,u,u,0
6,spi,CONFIGURED,PASSED,General,2,1,LONG,IV,u,u,u,u,u,0
6,store,CONFIGURED,PASSED,General,2,1,LONG,IV,u,u,u,u,u,0
6,store_load,CONFIGURED,PASSED,General,2,1,LONG,IV,u,u,u,u,u,0
6,vmem_store_checksum_first,CONFIGURED,PASSED,General,2,1,LONG,IV,u,u,u,u,u,0
6,vmem_store_checksum_last,CONFIGURED,PASSED,General,2,1,LONG,IV,u,u,u,u,u,0
7,bindings,CONFIGURED,PASSED,General,2,1,LONG,VAT,u,u,180,1,u,u
7,example,CONFIGURED,PASSED,General,2,1,LONG,VAT,u,u,180,1,u,u
7,file_store,CONFIGURED,PASSED,General,2,1,LONG,VAT,u,u,180,1,u,u
7,i2c,CONFIGURED,PASSED,General,2,1,LONG,VAT,u,u,180,1,u,u
7,log,CONFIGURED,PASSED,General,2,1,LONG,VAT,u,u,180,1,u,u
7,param3,CONFIGURED,PASSED,General,2,1,LONG,VAT,u,u,180,1,u,u
7,param4,CONFIGURED,PASSED,General,2,1,LONG,VAT,u,u,180,1,u,u
7,rparam3,CONFIGURED,FAILED,General,2,1,LONG,VAT,u,u,180,1,u,u
7,rparam4,CONFIGURED,FAILED,General,2,1,LONG,VAT,u,u,180,1,u,u
7,serialize,CONFIGURED,PASSED,General,2,1,LONG,VAT,u,u,180,1,u,u
7,spi,CONFIGURED,PASSED,General,2,1,LONG,VAT,u,u,180,1,u,u
7,store,CONFIGURED,PASSED,General,2,1,LONG,VAT,u,u,180,1,u,u
7,store_load,CONFIGURED,PASSED,General,2,1,LONG,VAT,u,u,180,1,u,u
7,vmem_store_checksum_first,CONFIGURED,PASSED,General,2,1,LONG,VAT,u,u,180,1,u,u
7,vmem_store_checksum_last,CONFIGURED,PASSED,General,2,1,LONG,VAT,u,u,180,1,u,u
8,bindings,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
8,example,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
8,file_store,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
8,i2c,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
8,log,CONFIGURED,PASSED,GET,2,1,LONG,SS,u,u,u,1,u,u
