MUTANT,TEST,CONFIGURATION,RESULT
20,rparam4,CONFIGURED,PASSED
20,serialize,CONFIGURED,PASSED
20,spi,CONFIGURED,PASSED
20,store,CONFIGURED,PASSED
20,store_load,CONFIGURED,PASSED
20,vmem_store_checksum_first,CONFIGURED,PASSED
20,vmem_store_checksum_last,CONFIGURED,PASSED
21,bindings,CONFIGURED,PASSED
21,example,CONFIGURED,PASSED
21,file_store,CONFIGURED,PASSED
21,i2c,CONFIGURED,PASSED
21,log,CONFIGURED,PASSED
21,param3,CONFIGURED,PASSED
21,param4,CONFIGURED,PASSED
21,rparam3,CONFIGURED,PASSED
21,rparam4,CONFIGURED,PASSED
21,serialize,CONFIGURED,PASSED
21,spi,CONFIGURED,PASSED
21,store,CONFIGURED,PASSED
21,store_load,CONFIGURED,PASSED
21,vmem_store_checksum_first,CONFIGURED,PASSED
21,vmem_store_checksum_last,CONFIGURED,PASSED
22,bindings,CONFIGURED,PASSED
22,example,CONFIGURED,PASSED
22,file_store,CONFIGURED,PASSED
22,i2c,CONFIGURED,PASSED
22,log,CONFIGURED,PASSED
22,param3,CONFIGURED,PASSED
22,param4,CONFIGURED,PASSED
22,rparam3,CONFIGURED,PASSED
22,rparam4,CONFIGURED,PASSED
22,serialize,CONFIGURED,PASSED
22,spi,CONFIGURED,PASSED
22,store,CONFIGURED,PASSED
22,store_load,CONFIGURED,PASSED
22,vmem_store_checksum_first,CONFIGURED,PASSED
22,vmem_store_checksum_last,CONFIGURED,PASSED
23,bindings,CONFIGURED,PASSED
23,example,CONFIGURED,PASSED
23,file_store,CONFIGURED,PASSED
23,i2c,CONFIGURED,PASSED
23,log,CONFIGURED,PASSED
23,param3,CONFIGURED,PASSED
23,param4,CONFIGURED,PASSED
23,rparam3,CONFIGURED,PASSED
23,rparam4,CONFIGURED,FAILED
23,serialize,CONFIGURED,PASSED
23,spi,CONFIGURED,PASSED
23,store,CONFIGURED,PASSED
23,store_load,CONFIGURED,PASSED
23,vmem_store_checksum_first,CONFIGURED,PASSED
23,vmem_store_checksum_last,CONFIGURED,PASSED
24,bindings,CONFIGURED,PASSED
24,example,CONFIGURED,PASSED
24,file_store,CONFIGURED,PASSED
24,i2c,CONFIGURED,PASSED
24,log,CONFIGURED,PASSED
24,param3,CONFIGURED,PASSED
24,param4,CONFIGURED,PASSED
24,rparam3,CONFIGURED,PASSED
24,rparam4,CONFIGURED,FAILED
24,serialize,CONFIGURED,PASSED
24,spi,CONFIGURED,PASSED
24,store,CONFIGURED,PASSED
24,store_load,CONFIGURED,PASSED
24,vmem_store_checksum_first,CONFIGURED,PASSED
24,vmem_store_checksum_last,CONFIGURED,PASSED
25,bindings,CONFIGURED,PASSED
25,example,CONFIGURED,PASSED
25,file_store,CONFIGURED,PASSED
25,i2c,CONFIGURED,PASSED
25,log,CONFIGURED,PASSED
25,param3,CONFIGURED,PASSED
25,param4,CONFIGURED,PASSED
25,rparam3,CONFIGURED,PASSED
25,rparam4,CONFIGURED,FAILED
25,serialize,CONFIGURED,PASSED
25,spi,CONFIGURED,PASSED
25,store,CONFIGURED,PASSED
25,store_load,CONFIGURED,PASSED
25,vmem_store_checksum_first,CONFIGURED,PASSED
25,vmem_store_checksum_last,CONFIGURED,PASSED
26,bindings,CONFIGURED,PASSED
26,example,CONFIGURED,PASSED
26,file_store,CONFIGURED,PASSED
26,i2c,CONFIGURED,PASSED
26,log,CONFIGURED,PASSED
26,param3,CONFIGURED,PASSED
26,param4,CONFIGURED,PASSED
26,rparam3,CONFIGURED,PASSED
26,rparam4,CONFIGURED,FAILED
26,serialize,CONFIGURED,PASSED
26,spi,CONFIGURED,PASSED
26,store,CONFIGURED,PASSED
26,store_load,CONFIGURED,PASSED
26,vmem_store_checksum_first,CONFIGURED,PASSED
26,vmem_store_checksum_last,CONFIGURED,PASSED
27,bindings,CONFIGURED,PASSED
27,example,CONFIGURED,PASSED
27,file_store,CONFIGURED,PASSED
27,i2c,CONFIGURED,PASSED
27,log,CONFIGURED,PASSED
27,param3,CONFIGURED,PASSED
27,param4,CONFIGURED,PASSED
27,rparam3,CONFIGURED,PASSED
27,rparam4,CONFIGURED,PASSED
27,serialize,CONFIGURED,PASSED
27,spi,CONFIGURED,PASSED
27,store,CONFIGURED,PASSED
27,store_load,CONFIGURED,PASSED
27,vmem_store_checksum_first,CONFIGURED,PASSED
27,vmem_store_checksum_last,CONFIGURED,PASSED
28,bindings,CONFIGURED,PASSED
28,example,CONFIGURED,PASSED
28,file_store,CONFIGURED,PASSED
28,i2c,CONFIGURED,PASSED
28,log,CONFIGURED,PASSED
28,param3,CONFIGURED,PASSED
28,param4,CONFIGURED,PASSED
28,rparam3,CONFIGURED,PASSED
28,rparam4,CONFIGURED,PASSED
28,serialize,CONFIGURED,PASSED
28,spi,CONFIGURED,PASSED
28,store,CONFIGURED,PASSED
28,store_load,CONFIGURED,PASSED
28,vmem_store_checksum_first,CONFIGURED,PASSED
28,vmem_store_checksum_last,CONFIGURED,PASSED
29,bindings,CONFIGURED,PASSED
29,example,CONFIGURED,PASSED
29,file_store,CONFIGURED,PASSED
29,i2c,CONFIGURED,PASSED
29,log,CONFIGURED,PASSED
29,param3,CONFIGURED,PASSED
29,param4,CONFIGURED,PASSED
29,rparam3,CONFIGURED,PASSED
29,rparam4,CONFIGURED,PASSED
29,serialize,CONFIGURED,PASSED
29,spi,CONFIGURED,PASSED
29,store,CONFIGURED,PASSED
29,store_load,CONFIGURED,PASSED
29,vmem_store_checksum_first,CONFIGURED,PASSED
29,vmem_store_checksum_last,CONFIGURED,PASSED
30,bindings,CONFIGURED,PASSED
30,example,CONFIGURED,PASSED
30,file_store,CONFIGURED,PASSED
30,i2c,CONFIGURED,PASSED
30,log,CONFIGURED,PASSED
30,param3,CONFIGURED,PASSED
30,param4,CONFIGURED,PASSED
30,rparam3,CONFIGURED,PASSED
30,rparam4,CONFIGURED,PASSED
30,serialize,CONFIGURED,PASSED
30,spi,CONFIGURED,PASSED
30,store,CONFIGURED,PASSED
30,store_load,CONFIGURED,PASSED
30,vmem_store_checksum_first,CONFIGURED,PASSED
30,vmem_store_checksum_last,CONFIGURED,PASSED
31,bindings,CONFIGURED,PASSED
31,example,CONFIGURED,PASSED
31,file_store,CONFIGURED,PASSED
31,i2c,CONFIGURED,PASSED
31,log,CONFIGURED,PASSED
31,param3,CONFIGURED,PASSED
31,param4,CONFIGURED,PASSED
31,rparam3,CONFIGURED,PASSED
31,rparam4,CONFIGURED,FAILED
31,serialize,CONFIGURED,PASSED
31,spi,CONFIGURED,PASSED
31,store,CONFIGURED,PASSED
31,store_load,CONFIGURED,PASSED
31,vmem_store_checksum_first,CONFIGURED,PASSED
31,vmem_store_checksum_last,CONFIGURED,PASSED
32,bindings,CONFIGURED,PASSED
32,example,CONFIGURED,PASSED
32,file_store,CONFIGURED,PASSED
32,i2c,CONFIGURED,PASSED
32,log,CONFIGURED,PASSED
32,param3,CONFIGURED,PASSED
32,param4,CONFIGURED,PASSED
32,rparam3,CONFIGURED,PASSED
32,rparam4,CONFIGURED,FAILED
32,serialize,CONFIGURED,PASSED
32,spi,CONFIGURED,PASSED
32,store,CONFIGURED,PASSED
32,store_load,CONFIGURED,PASSED
32,vmem_store_checksum_first,CONFIGURED,PASSED
32,vmem_store_checksum_last,CONFIGURED,PASSED
33,bindings,CONFIGURED,PASSED
33,example,CONFIGURED,PASSED
33,file_store,CONFIGURED,PASSED
33,i2c,CONFIGURED,PASSED
33,log,CONFIGURED,PASSED
33,param3,CONFIGURED,PASSED
33,param4,CONFIGURED,PASSED
33,rparam3,CONFIGURED,PASSED
33,rparam4,CONFIGURED,FAILED
33,serialize,CONFIGURED,PASSED
33,spi,CONFIGURED,PASSED
33,store,CONFIGURED,PASSED
33,store_load,CONFIGURED,PASSED
33,vmem_store_checksum_first,CONFIGURED,PASSED
33,vmem_store_checksum_last,CONFIGURED,PASSED
34,bindings,CONFIGURED,PASSED
34,example,CONFIGURED,PASSED
34,file_store,CONFIGURED,PASSED
34,i2c,CONFIGURED,PASSED
34,log,CONFIGURED,PASSED
34,param3,CONFIGURED,PASSED
34,param4,CONFIGURED,PASSED
34,rparam3,CONFIGURED,PASSED
34,rparam4,CONFIGURED,FAILED
34,serialize,CONFIGURED,PASSED
34,spi,CONFIGURED,PASSED
34,store,CONFIGURED,PASSED
34,store_load,CONFIGURED,PASSED
34,vmem_store_checksum_first,CONFIGURED,PASSED
34,vmem_store_checksum_last,CONFIGURED,PASSED
